table,target,n,n_own,n_par,n_chi,r2_own,r2_parent,r2_child,corpus,db,r2_own_c,r2_parent_c,r2_child_c,parent_lift,child_lift
table_3,feature_16,914,27,19,22,-0.3152485840789243,-0.3312087212612282,-0.2878176826389929,plurel,plurel-108/db,-0.3152485840789243,-0.3312087212612282,-0.2878176826389929,-0.01596013718230388,0.027430901439931432
table_2,feature_7,727,24,15,19,-0.0993439957655202,-0.1751432302359605,-0.1513618267295329,plurel,plurel-109/db,-0.0993439957655202,-0.1751432302359605,-0.1513618267295329,-0.07579923447044032,-0.05201783096401272
table_6,feature_13,2052,16,40,0,0.944486727654232,0.9538333667881004,,plurel,plurel-109/db,0.944486727654232,0.9538333667881004,,0.00934663913386835,
table_7,feature_22,598,28,6,122,0.9156358920487572,0.917484307760608,0.8983027490786322,plurel,plurel-109/db,0.9156358920487572,0.917484307760608,0.8983027490786322,0.0018484157118507927,-0.017333142970125004
table_8,feature_9,1994,10,26,0,-0.2375016826421845,-0.2435539291203234,,plurel,plurel-11/db,-0.2375016826421845,-0.2435539291203234,,-0.006052246478138901,
table_6,feature_0,3830,10,19,0,0.1171504027815596,0.4679636196500055,,plurel,plurel-11/db,0.1171504027815596,0.4679636196500055,,0.3508132168684459,
table_2,feature_6,3819,4,4,0,-0.118746811908639,0.8807206685884902,,plurel,plurel-11/db,-0.118746811908639,0.8807206685884902,,0.9994674804971292,
table_1,feature_12,546,9,0,98,-0.3271247563208384,,0.9872088339543194,plurel,plurel-110/db,-0.3271247563208384,,0.9872088339543194,,1.3143335902751576
table_0,feature_25,2761,16,11,0,0.9862135936261336,0.9961610428530938,,plurel,plurel-110/db,0.9862135936261336,0.9961610428530938,,0.009947449226960225,
table_2,feature_11,3248,19,11,0,0.9975416296864474,0.9991820070358544,,plurel,plurel-110/db,0.9975416296864474,0.9991820070358544,,0.0016403773494069185,
table_12,feature_8,584,20,29,27,0.2815992652157436,0.2361919016565627,0.2857180457586197,plurel,plurel-111/db,0.2815992652157436,0.2361919016565627,0.2857180457586197,-0.045407363559180874,0.0041187805428761215
table_12,feature_6,584,20,29,27,0.2622356613527487,0.3492363177498416,0.1765039425034742,plurel,plurel-111/db,0.2622356613527487,0.3492363177498416,0.1765039425034742,0.08700065639709292,-0.08573171884927447
table_12,feature_10,584,20,29,27,-0.1514452476076693,-0.0589080838760456,0.0434382164869224,plurel,plurel-111/db,-0.1514452476076693,-0.0589080838760456,0.0434382164869224,0.09253716373162371,0.1948834640945917
table_6,feature_2,881,14,7,0,0.5787822222131502,0.7185325718002086,,plurel,plurel-112/db,0.5787822222131502,0.7185325718002086,,0.13975034958705834,
table_2,feature_20,520,17,0,16,-0.1572682758943253,,-0.0581980338721206,plurel,plurel-112/db,-0.1572682758943253,,-0.0581980338721206,,0.09907024202220469
table_4,feature_19,910,10,14,19,0.4448270995721263,0.5735714666404663,0.4098608934880117,plurel,plurel-113/db,0.4448270995721263,0.5735714666404663,0.4098608934880117,0.12874436706834003,-0.034966206084114604
table_6,feature_9,905,8,0,19,-0.1498946455476508,,-0.0753294555056875,plurel,plurel-113/db,-0.1498946455476508,,-0.0753294555056875,,0.07456519004196331
table_7,feature_4,496,5,14,26,0.5957540229959775,0.705263874452382,0.550170735075156,plurel,plurel-113/db,0.5957540229959775,0.705263874452382,0.550170735075156,0.10950985145640457,-0.04558328792082145
table_2,feature_3,607,30,15,28,-0.0967254985543804,-0.1453571440806187,-0.0684382081967802,plurel,plurel-114/db,-0.0967254985543804,-0.1453571440806187,-0.0684382081967802,-0.048631645526238304,0.028287290357600192
table_6,feature_20,760,13,0,64,-0.1618924923790206,,-0.1985406155061799,plurel,plurel-114/db,-0.1618924923790206,,-0.1985406155061799,,-0.036648123127159316
table_0,feature_11,949,11,33,46,-0.1965327497727895,-0.2696275992210539,-0.2111746981439393,plurel,plurel-114/db,-0.1965327497727895,-0.2696275992210539,-0.2111746981439393,-0.07309484944826439,-0.014641948371149793
table_1,feature_3,486,4,22,7,0.026226053488498,0.2098289507384526,-0.1268812351066333,plurel,plurel-115/db,0.026226053488498,0.2098289507384526,-0.1268812351066333,0.1836028972499546,-0.15310728859513129
table_0,feature_6,620,20,0,10,-0.2019612573812628,,-0.3511081998054057,plurel,plurel-115/db,-0.2019612573812628,,-0.3511081998054057,,-0.1491469424241429
table_0,feature_9,620,20,0,10,-0.2483084942570599,,-0.2759137843298724,plurel,plurel-115/db,-0.2483084942570599,,-0.2759137843298724,,-0.02760529007281251
table_17,feature_10,3075,15,13,0,-0.0645209169345557,-0.0235077715533706,,plurel,plurel-116/db,-0.0645209169345557,-0.0235077715533706,,0.0410131453811851,
table_10,feature_34,846,38,7,0,-0.1336485444962198,-0.1257589362993134,,plurel,plurel-116/db,-0.1336485444962198,-0.1257589362993134,,0.0078896081969064,
table_3,feature_3,489,5,11,10,0.7049137431252881,0.7301986898496897,0.6617460678789043,plurel,plurel-116/db,0.7049137431252881,0.7301986898496897,0.6617460678789043,0.025284946724401625,-0.04316767524638376
table_16,feature_1,787,27,33,13,0.0457080775948138,0.2237737584292546,0.0350106124717204,plurel,plurel-117/db,0.0457080775948138,0.2237737584292546,0.0350106124717204,0.1780656808344408,-0.0106974651230934
table_15,feature_4,653,14,0,16,-0.2657188438740421,,-0.2550115669671535,plurel,plurel-117/db,-0.2657188438740421,,-0.2550115669671535,,0.010707276906888608
table_5,feature_8,859,10,33,13,0.4574422284862229,0.4332972872387182,0.4243945086650275,plurel,plurel-117/db,0.4574422284862229,0.4332972872387182,0.4243945086650275,-0.024144941247504714,-0.03304771982119542
table_0,feature_14,3692,14,4,0,0.362584486012474,0.3703379709917058,,plurel,plurel-118/db,0.362584486012474,0.3703379709917058,,0.007753484979231784,
table_1,feature_0,797,2,0,41,-0.0198186121979964,,0.8832555640510977,plurel,plurel-118/db,-0.0198186121979964,,0.8832555640510977,,0.9030741762490941
table_0,feature_10,3697,14,4,0,0.9837095633609456,0.9940753872665652,,plurel,plurel-118/db,0.9837095633609456,0.9940753872665652,,0.010365823905619576,
