model,block,stream,head,deviation_l2
grdm,5,col,0,0.5732878515716513
grdm,5,col,1,0.558296020898547
grdm,5,col,2,0.5846133019074439
grdm,5,col,3,0.5285500398921654
grdm,5,col,4,0.5252201945467206
grdm,5,col,5,0.5451432260481157
grdm,5,col,6,0.5524791930507564
grdm,5,col,7,0.6193119858868497
grdm,5,feat,0,0.7469831029316317
grdm,5,feat,1,0.8105002975869265
grdm,5,feat,2,0.643474345192105
grdm,5,feat,3,0.7424118681623341
grdm,5,feat,4,0.7043239014952071
grdm,5,feat,5,0.7843144112245342
grdm,5,feat,6,0.6260833411116667
grdm,5,feat,7,0.8228058207175969
grdm,5,nbr,0,0.5635063751902175
grdm,5,nbr,1,0.48732371283566045
grdm,5,nbr,2,0.5982475332207482
grdm,5,nbr,3,0.5221246118133122
grdm,5,nbr,4,0.5611128392234898
grdm,5,nbr,5,0.5202244815896794
grdm,5,nbr,6,0.5430062267350838
grdm,5,nbr,7,0.5433929127915594
grdm,6,col,0,0.4946478287446747
grdm,6,col,1,0.5900418630948316
grdm,6,col,2,0.5936256736541495
grdm,6,col,3,0.6395151450783015
grdm,6,col,4,0.6841016925869802
grdm,6,col,5,0.655485931712353
grdm,6,col,6,0.5282946948823062
grdm,6,col,7,0.6444721397113207
grdm,6,feat,0,0.9119536207634513
grdm,6,feat,1,0.9559403059806931
grdm,6,feat,2,0.6105316659322906
grdm,6,feat,3,0.7469725900201897
grdm,6,feat,4,0.7220549427281853
grdm,6,feat,5,0.7032442654019215
grdm,6,feat,6,0.7987992344414319
grdm,6,feat,7,0.7025119360532524
grdm,6,nbr,0,0.46259609139201724
grdm,6,nbr,1,0.49993047007274904
grdm,6,nbr,2,0.5727351641698314
grdm,6,nbr,3,0.6069984524137998
grdm,6,nbr,4,0.5029699272427584
grdm,6,nbr,5,0.6330033650252315
grdm,6,nbr,6,0.6154658502760769
grdm,6,nbr,7,0.4532428805986974
grdm,7,col,0,0.569045979387271
grdm,7,col,1,0.5867355157612969
grdm,7,col,2,0.5563780851447865
grdm,7,col,3,0.6630466488868937
grdm,7,col,4,0.5097322672310494
grdm,7,col,5,0.5804826501180625
grdm,7,col,6,0.5623315618571578
grdm,7,col,7,0.5480615074178308
grdm,7,feat,0,0.8276049987655948
grdm,7,feat,1,0.48985577208080516
grdm,7,feat,2,0.572255486017706
grdm,7,feat,3,0.5538144359707614
grdm,7,feat,4,0.5809444579384424
grdm,7,feat,5,0.8667153112502486
grdm,7,feat,6,0.5786759644368111
grdm,7,feat,7,0.8599160615231168
grdm,7,nbr,0,0.495871186080432
grdm,7,nbr,1,0.4648286372220432
grdm,7,nbr,2,0.5032466981883018
grdm,7,nbr,3,0.6249444400410776
grdm,7,nbr,4,0.4972765650148856
grdm,7,nbr,5,0.5483517768628027
grdm,7,nbr,6,0.5515128917105984
grdm,7,nbr,7,0.6145318637459777
grdm,8,col,0,0.7370768580317154
grdm,8,col,1,0.6417398753658545
grdm,8,col,2,0.652833971407282
grdm,8,col,3,0.763263930023691
grdm,8,col,4,0.6619576840225129
grdm,8,col,5,0.5960685453423346
grdm,8,col,6,0.589820065559679
grdm,8,col,7,0.5814241789237314
grdm,8,feat,0,0.639645208103094
grdm,8,feat,1,0.7316539451580089
grdm,8,feat,2,1.1015874981580094
grdm,8,feat,3,0.6552324495415752
grdm,8,feat,4,0.8111707515464454
grdm,8,feat,5,0.6513421169643596
grdm,8,feat,6,0.5280123110748377
grdm,8,feat,7,1.009061708193055
grdm,8,nbr,0,0.5008526754846057
grdm,8,nbr,1,0.48103541979534115
grdm,8,nbr,2,0.544809360578471
grdm,8,nbr,3,0.7169236569969941
grdm,8,nbr,4,0.424582254338539
grdm,8,nbr,5,0.46209153683463217
grdm,8,nbr,6,0.6610968705385185
grdm,8,nbr,7,0.5744912415725765
grdm,9,col,0,0.6557005699659709
grdm,9,col,1,0.5642541613911265
grdm,9,col,2,0.7803617148181247
grdm,9,col,3,0.7024873703367724
grdm,9,col,4,0.6828018369867789
